YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,CRS_DEP_TIME,CRS_ARR_TIME,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DISTANCE
2015,1,11,7,EV,11618,Newark   NJ,14524,Richmond   VA,1236,1359,0,0,0,277
2015,1,3,6,EV,11618,Newark   NJ,14576,Rochester   NY,811,931,0,0,0,246
2015,1,18,7,EV,12266,Houston   TX,15411,Tyler   TX,1737,1831,0,0,0,163
2015,1,21,3,OO,13930,Chicago   IL,10990,Charlottesville   VA,1425,1703,39,1,0,567
2015,1,22,4,OO,13930,Chicago   IL,10990,Charlottesville   VA,1425,1703,22,1,0,567
2015,1,30,5,OO,13930,Chicago   IL,10990,Charlottesville   VA,2010,2245,0,0,0,567
2015,1,16,5,OO,14107,Phoenix   AZ,14869,Salt Lake City   UT,1945,2130,0,0,0,507
2015,1,23,5,OO,12889,Las Vegas   NV,14869,Salt Lake City   UT,610,835,0,0,0,368
2015,1,15,4,OO,14747,Seattle   WA,12889,Las Vegas   NV,1810,2031,0,0,0,867
2015,1,23,5,OO,13871,Omaha   NE,14869,Salt Lake City   UT,1749,1924,15,1,0,840
2015,1,29,4,OO,12892,Los Angeles   CA,14107,Phoenix   AZ,2130,2359,6,0,0,370
2015,1,6,2,OO,14457,Rapid City   SD,13487,Minneapolis   MN,1016,1258,14,0,0,489
2015,1,13,2,OO,12884,Lansing   MI,13487,Minneapolis   MN,1600,1646,0,0,0,455
2015,1,23,5,OO,13487,Minneapolis   MN,12884,Lansing   MI,1300,1535,0,0,0,455
2015,1,26,1,OO,11433,Detroit   MI,12884,Lansing   MI,1555,1642,256,1,0,74
2015,1,16,5,OO,11433,Detroit   MI,12884,Lansing   MI,1555,1642,0,0,0,74
2015,1,23,5,OO,12266,Houston   TX,11298,Dallas/Fort Worth   TX,1430,1540,0,0,0,224
2015,1,8,4,OO,12266,Houston   TX,15376,Tucson   AZ,1125,1310,0,0,0,936
2015,1,4,7,OO,11109,Colorado Springs   CO,11292,Denver   CO,1019,1105,,,1,73
2015,1,19,1,OO,11292,Denver   CO,13502,Montrose/Delta   CO,1905,2003,65,1,0,196
2015,1,3,6,OO,13487,Minneapolis   MN,14520,Rhinelander   WI,1930,2040,16,1,0,190
2015,1,26,1,OO,13487,Minneapolis   MN,14520,Rhinelander   WI,1418,1522,0,0,0,190
2015,1,3,6,OO,14520,Rhinelander   WI,13487,Minneapolis   MN,1545,1650,0,0,0,190
2015,1,22,4,OO,14698,San Luis Obispo   CA,12892,Los Angeles   CA,600,718,0,0,0,156
2015,1,12,1,OO,14698,San Luis Obispo   CA,12892,Los Angeles   CA,600,718,,,1,156
2015,1,10,6,OO,13930,Chicago   IL,11337,Duluth   MN,848,1023,0,0,0,397
2015,1,30,5,OO,10561,Bakersfield   CA,14107,Phoenix   AZ,630,900,16,1,0,425
2015,1,17,6,OO,11540,El Paso   TX,14107,Phoenix   AZ,1230,1355,0,0,0,347
2015,1,10,6,OO,11540,El Paso   TX,14107,Phoenix   AZ,1230,1355,0,0,0,347
2015,1,29,4,OO,12884,Lansing   MI,11433,Detroit   MI,1740,1829,58,1,0,74
2015,1,13,2,OO,14869,Salt Lake City   UT,15370,Tulsa   OK,1346,1706,0,0,0,926
2015,1,7,3,OO,14869,Salt Lake City   UT,15370,Tulsa   OK,1346,1706,0,0,0,926
2015,1,3,6,OO,14869,Salt Lake City   UT,12280,Idaho Falls   ID,2153,2256,0,0,0,188
2015,1,13,2,OO,14869,Salt Lake City   UT,12280,Idaho Falls   ID,2107,2211,16,1,0,188
2015,1,23,5,OO,14869,Salt Lake City   UT,12280,Idaho Falls   ID,2150,2250,3,0,0,188
2015,1,9,5,OO,11433,Detroit   MI,14150,Pellston   MI,1200,1313,27,1,0,243
2015,1,29,4,OO,11337,Duluth   MN,13930,Chicago   IL,600,740,0,0,0,397
2015,1,4,7,OO,11337,Duluth   MN,13930,Chicago   IL,600,736,20,1,0,397
2015,1,24,6,OO,11337,Duluth   MN,13930,Chicago   IL,600,740,0,0,0,397
2015,1,18,7,OO,11292,Denver   CO,14794,St. George   UT,1105,1251,0,0,0,517
2015,1,20,2,OO,12892,Los Angeles   CA,11041,Carlsbad   CA,1435,1521,0,0,0,86
2015,1,29,4,OO,14771,San Francisco   CA,13891,Ontario   CA,1810,1930,0,0,0,363
2015,1,23,5,OO,10800,Burbank   CA,14771,San Francisco   CA,700,826,0,0,0,326
2015,1,15,4,OO,14771,San Francisco   CA,14869,Salt Lake City   UT,1255,1544,126,1,0,599
2015,1,6,2,OO,11109,Colorado Springs   CO,12892,Los Angeles   CA,1356,1529,0,0,0,833
2015,1,6,2,OO,11003,Cedar Rapids/Iowa City   IA,13930,Chicago   IL,600,719,,,1,196
2015,1,28,3,OO,11003,Cedar Rapids/Iowa City   IA,13930,Chicago   IL,615,734,0,0,0,196
2015,1,14,3,OO,14771,San Francisco   CA,12889,Las Vegas   NV,2030,2159,2,0,0,414
2015,1,15,4,OO,12892,Los Angeles   CA,11603,Eugene   OR,1945,2155,0,0,0,748
2015,1,29,4,OO,12892,Los Angeles   CA,11603,Eugene   OR,1945,2155,3,0,0,748
2015,1,23,5,OO,12892,Los Angeles   CA,11041,Carlsbad   CA,956,1042,16,1,0,86
2015,1,4,7,OO,14869,Salt Lake City   UT,10849,Bozeman   MT,1555,1720,0,0,0,347
2015,1,13,2,OO,14869,Salt Lake City   UT,10849,Bozeman   MT,1615,1739,0,0,0,347
2015,1,22,4,OO,12266,Houston   TX,11057,Charlotte   NC,1029,1350,3,0,0,912
2015,1,7,3,OO,12266,Houston   TX,11986,Grand Rapids   MI,1257,1630,18,1,0,1042
2015,1,24,6,OO,12266,Houston   TX,13256,Mission/McAllen/Edinburg   TX,2110,2225,0,0,0,316
2015,1,12,1,OO,10800,Burbank   CA,14771,San Francisco   CA,1411,1535,4,0,0,326
2015,1,16,5,OO,12441,Jackson   WY,11292,Denver   CO,1732,1906,1,0,0,406
2015,1,24,6,OO,10157,Arcata/Eureka   CA,14771,San Francisco   CA,1343,1504,3,0,0,250
2015,1,17,6,OO,10140,Albuquerque   NM,14771,San Francisco   CA,1105,1247,59,1,0,896
2015,1,19,1,OO,14771,San Francisco   CA,10157,Arcata/Eureka   CA,1153,1318,0,0,0,250
2015,1,9,5,OO,13487,Minneapolis   MN,12129,Hibbing   MN,1115,1217,20,1,0,174
2015,1,13,2,OO,14869,Salt Lake City   UT,15582,Vernal   UT,2100,2148,16,1,0,132
2015,1,30,5,OO,15582,Vernal   UT,14869,Salt Lake City   UT,658,750,0,0,0,132
2015,1,30,5,OO,11433,Detroit   MI,11587,Escanaba   MI,1200,1325,0,0,0,306
2015,1,5,1,OO,11587,Escanaba   MI,11433,Detroit   MI,1350,1511,40,1,0,306
2015,1,16,5,OO,12003,Great Falls   MT,11292,Denver   CO,700,854,0,0,0,624
2015,1,28,3,OO,12129,Hibbing   MN,13487,Minneapolis   MN,719,825,0,0,0,174
2015,1,25,7,OO,14869,Salt Lake City   UT,15389,Twin Falls   ID,2200,2247,0,0,0,175
2015,1,7,3,OO,14520,Rhinelander   WI,13487,Minneapolis   MN,715,818,,,1,190
2015,1,11,7,OO,14520,Rhinelander   WI,13487,Minneapolis   MN,715,818,5,0,0,190
2015,1,23,5,OO,11292,Denver   CO,14543,Rock Springs   WY,1910,2038,0,0,0,260
2015,1,13,2,OO,11292,Denver   CO,14543,Rock Springs   WY,1910,2038,12,0,0,260
2015,1,21,3,OO,12892,Los Angeles   CA,14698,San Luis Obispo   CA,2027,2127,0,0,0,156
2015,1,19,1,OO,11823,Fort Wayne   IN,13930,Chicago   IL,1544,1549,0,0,0,157
